CLASS,MESSAGE
company_info,What is Handyman Prosthetics?
company_info,What is Handyman?
company_info,Tell me about Handyman
company_info,Tell me about handyman prosthetics
company_info,Hi Handy. Tell me about your company
company_info,What does your company do?
company_info,What does Handyman do?
company_info,What does Hanydman prosthetics do?
company_info,Tell me about your company
company_info,What does handyman do?
company_info,please give some information on your company
company_info,information on handyman prosthetics
company_info,information on handyman
company_info,handyman info
company_info,what is your company about?
company_info,what is handyman about?
company_info,what is handyman prosthetics about?
company_info,what do you do?
company_info,info on handyman
all_products,Tell me about your products
all_products,Tell me about your solutions
all_products,Show me your product catalogue?
all_products,Can you show me your catalogue?
all_products,Products list
all_products,solutions list
all_products,What products do you have
all_products,What solutions do you have
all_products,Handyman products
all_products,Show all products
all_products,Show all solutions
all_products,list of your products
all_products,list of your solutions
all_products,list of handyman products
all_products,all your company products
all_products,all your company solutions
all_products,your products
all_products,your solutions
all_products,show me your products
all_products,show me your solutions
all_products,products menu
all_products,solutions menu
all_products,solutions list
all_products,products list
all_products,solutions info
all_products,product info
all_products,give products and their details
all_products,products information
all_products,solutions information
all_products,show me your product information
all_products,show me your product info
all_products,show me your solutions information
all_products,show me your solutions info
all_products,info of your products
all_products,info of your solutions
all_products,what all do you sell?
all_products,what products do you sell?
all_products,what does handyman sell?
all_products,what products available?
all_products,what solutions available?
all_products,available products
all_products,available solutions
prosthesis_products,products for hand amputees
prosthesis_products,products for hand amputation
prosthesis_products,products for removed hand
prosthesis_products,products for people without hand
prosthesis_products,products for cut hand
prosthesis_products,solutions for hand amputees
prosthesis_products,solutions for hand amputations
prosthesis_products,solutions for removed hand
prosthesis_products,solutions for cut hand
prosthesis_products,solutions for people without hand
prosthesis_products,what solutions do you have for hand amputees
prosthesis_products,what solutions do you have for hand amputation
prosthesis_products,what solutions do you have for removed hand
prosthesis_products,what solutions do you have for hand amputees
prosthesis_products,what solutions do you have for hand amputation
prosthesis_products,what solutions do you have for removed hand
prosthesis_products,solutions for removed hand
prosthesis_products,Tell me about your products for hand amputees
prosthesis_products,Tell me about your solutions for hand amputees 
prosthesis_products,Show me your product catalogue for hand amputees?
prosthesis_products,Can you show me your catalogue for hand amputees?
prosthesis_products,Products list for hand amputees
prosthesis_products,solutions list for hand amputees
prosthesis_products,What products do you have for hand amputees
prosthesis_products,What solutions do you have for hand amputees
prosthesis_products,Handyman products for hand amputees
prosthesis_products,Show all products for hand amputees
prosthesis_products,Show all solutions for hand amputees
prosthesis_products,list of your products for hand amputees
prosthesis_products,list of your solutions for hand amputees
prosthesis_products,list of handyman products for hand amputees
prosthesis_products,all your company products for hand amputees
prosthesis_products,all your company solutions for hand amputees
prosthesis_products,your products for hand amputees
prosthesis_products,your solutions for hand amputees
